name,No,Company.Name,Month,Description,Founded,Lead.Investor,Deal.Size,Prior.Raise,Reason,Interesting,uuid,,,,
360insights,217,360insights,42674,Provider of on-demand incentive management software and services. The company develops a software as a service (SAAS) based software platform that allows businesses to manage incentive programs in real time.,2008,Sageview Capital (Dean Nelson),30,17.65,NA,1,4ca2593a-1e9d-b393-ae3f-b745ee0c670c,,,,30/10/2016
4cinsights,171,4C Insights,42643,Provider of a data analytics and social intelligence platform. The company provides an integrated platform for multi-screen analytics and convergence for brands to reach their most valuable audiences.,2011,Kayne Anderson Capital Advisors (Leon Chen),26,7.66921,NA,1,2ffdea0f-c4a1-178a-fe65-4de1dfd95a29,,,,29/09/2016
aaptiv,445,Aaptiv,43100,"Provider of an audio-based fitness application designed to offer personal training sessions. The company's fitness application syncs the motivational guidance of a trainer with the perfect playlist, as well as offer classes in running, indoor cycling, elliptical and yoga, enabling users to experience a studio class right from their phone.",2015,Insight Venture Partners (Thilo Semmelbauer),38,1.52,NA,1,ad7bcd90-61ad-6ac9-68c4-ae48fb4c13d7,,,,30/12/2017
ableto,207,AbleTo,42978,"Provider of technology-enabled behavioral health care designed to integrate behavioral and medical health care. The company's technology-enabled behavioral health care identifies and engages members with unmet, often undiagnosed, behavioral health needs and provides structured therapy programs that strengthen medical recovery and self-care among members with chronic or complex clinical needs, enabling patients to receive improved outcomes at lowers costs.",2008,Bain Capital Ventures (Yumin Choi),36.6,24.5,Business Model,0,404d9a44-c392-af02-8b63-edc51f3efe3f,,,,30/08/2017
absorblms,211,Absorb LMS,43008,"Provider of web based learning management system intended to reduce the effort required to manage workplace learning and development. The company's learning management system includes course development, content management, administrative reporting, course authoring and registration management, enabling organizations to administer training courses to internal and external audiences.",2003,Silversmith Capital Partners (James Quagliaroli),59,0,Business Model,0,1eabfe20-ea04-e636-a828-fc3cb7bb4097,,,,29/09/2017
accessone,189,AccessOne,42766,Provider of technology-enabled financial engagement platform. The company offers patient payment options designed for patient consumers to manage their healthcare costs.,2002,Frontier Capital (Andrew Lindner),,0,Business Model,0,c9622039-c340-9b4e-4db6-c44f0753b050,,,,30/01/2017
aclservices,450,ACL Services,43100,"Developer of a Saas based governance, risk management and compliance (GRC) software. The company's software aligns the activities of operations, finance, risk, compliance and audit teams to deliver enhanced governance and reliable execution of organizational strategy, enabling companies to give more time on identifying and managing the highest-impact risks.",1987,Norwest Venture Partners (Robert Arditi),50,0,NA,1,f532dbca-a361-7e88-9aed-0fbce994cf1f,,,,30/12/2017
activecampaign,186,ActiveCampaign,42674,"Provider of email marketing services. The company offers marketing automation, email marketing, and automated sales CRM platform services for small to medium businesses.",2003,,20,0,NA,1,700ab6aa-8c7e-8353-7fdf-435288b04b63,,,,30/10/2016
acvauctions,264,ACV Auctions,43159,"Provider of an online auction platform intended for dealers to purchase wholesale vehicles. The company's online auction platform modernizes the entire arc of wholesale auction operations, including title management, floor plan purchasing, arbitration and facilitating logistics, enabling car dealers to bid for vehicles and sell trade-ins through online auctions easily.",2014,Bessemer Venture Partners,31,21.500023,Previous Investors,0,2de58174-7aa2-dcf3-4af3-89f9d0f8eec6,,,,27/02/2018
advancedsolutionsinternational,168,Advanced Solutions International,42582,"Provider of cloud-based software. The company develops iMIS 20 engagement management system (EMS) and provide services such as support, training, professional services and cloud services for associations and memberships, small staff associations, non-profits & fundraising and regulatory bodies.",1991,Bregal Sagemount (Daniel Kim),26.49,0.001214,Business Model,0,ba8c4fe1-d50b-2697-d2ef-d84403e1ad78,,,,30/07/2016
advisorengine,232,AdvisorEngine,42704,"Provider of an online wealth management platform. The company offers a Web-based wealth management and financial services platform which allows investment advisors to arrange all their portfolio and client management both for online client interactions, as well as for their regular-way face-to-face business.",2012,WisdomTree Investments (Jonathan Steinberg),20,6.26,NA,1,90ec6180-701d-6363-80a3-c84de3e01806,,,,29/11/2016
aetion,504,Aetion,43220,"Developer of a health care technology platform designed to offer real-world analytics and evidence needed for pharmaceutical developers and purchasers to thrive in value-based care. The company's platform uses the everyday clinical and financial interactions of the health care system to unlock essential evidence about the effectiveness and value of medical treatments, enabling bio pharma companies and payers to collaborate in real-time to develop therapeutic insights so that patients get the most clinically effective and cost-effective care.",2013,New Enterprise Associates (Mohamad Makhzoumi),36.4,11.199983,NA,1,aef45b98-df97-576d-06e7-ccd439be5f8e,,,,29/04/2018
agreementexpress,223,Agreement Express,43220,"Provider of a SaaS-based digital on-boarding platform focused on streamlining and enhancing the client experience for wealth management, payments and insurance providers. The company's platform allows financial institutions to design and execute consistent automated onboarding experiences across their product offerings and channels, while providing deep analytics that enable proactive and personalized client advice enabling top performing firms gather, use and reuse client data to improve and evolve rich customer experiences.",2001,Frontier Capital (Richard Maclean),65,0,Business Model,0,5449897a-196b-b059-56b7-5ef25d094c10,,,,29/04/2018
airmap,280,AirMap,42794,"Provider of an airspace management platform for drones designed to help create the next frontier of flight. The company's airspace management platform transforms airspace below 500 feet to create an interconnected drone ecosystem and provides low-altitude navigational data and communication tools to the drone industry which consist of inventors of drones & drone technology, drone operators and airspace stakeholders, enabling them to support drone flights.",2014,Microsoft Ventures (Nagraj Kashyap),26,17.6,NA,1,a38a881e-8279-4adb-8e4f-d026693fd37b,,,,27/02/2017
airwallex,268,Airwallex,43312,"Provider of a cross-border payments and foreign exchange platform designed to make and receive international payments. The company's payments platform effortlessly integrates into ecosystem of APIs, products, automation, global networks and local payment systems to create a scalable tool, enabling clients, pay suppliers and institutions to issue and pay invoices in their preferred currency at the mid-market foreign exchange rate.",2015,"Tencent Holdings, Sequoia",80,22,Previous Investors,0,5b570165-258d-9bae-8e4a-d3cf41ada5f5,,,,30/07/2018
alation,369,Alation,42947,"Developer of an enterprise collaborative data platform designed to empower employees inside data-driven enterprises to find, understand and use the right data. The company's enterprise collaborative data platform combines the power of machine learning with human insight to automatically capture information about what the data describes, where the data comes from, who is using it and how it is used, enabling analysts to search, query and collaborate data for better and faster business decisions.",2012,Icon Ventures (Michael Mullany),23,9,NA,1,00e68e6e-a157-3be8-20b7-55e84f5d8719,,,,30/07/2017
algolia,341,Algolia,42916,"Developer of a hosted search platform designed to increase user engagement and conversions. The company's search development platform provides the infrastructure, engine and tools needed to create fast, relevant consumer-grade search, enabling developers to easily integrate their API to websites and applications and drive consumer engagement.",2012,Accel (Philippe Botteri),53,21.19,NA,1,3728db50-1965-e3a0-72b8-d78de61cb2d8,,,,29/06/2017
align,233,A-LIGN,43312,"Provider of cybersecurity and compliance services intended to navigate the complexities of regulatory and business-driven security and compliance needs. The company's range of offerings includes security and compliance solutions in the form of assessments, audits, cyber risk advisory and testing services for companies ranging from small-medium sized businesses to large enterprise, enabling organizations address third party risks, security controls and privacy concerns.",2009,FTV Capital(Liron Gitig),54.5,0,Business Model,0,9ea67b88-4e69-9bd2-b0dc-c4f027fec215,,,,30/07/2018
alkemics,176,Alkemics,42643,Provider of an online marketing platform for retail grocery stores. The company provides provides the collaborative intelligence network which facilitates product data exchange between brands and retailers in the fast-moving consumer goods (FMCG) industry.,2011,"Cathay Capital Private Equity (Ming-Po Cai), Serena Capital (Xavier Lorphelin)",22.41,5.416026805,Business Model,0,1ce1e651-44e6-990a-a00f-bde2b04cf0bc,,,,29/09/2016
alphasense,10,AlphaSense,42460,Provider of financial search engine for equity investors. The company provides a search engine that enables investment professionals to find critical information in company disclosures from its database.,2008,,33,3.88377,Early / Small,0,30a1911d-f7c0-b9c7-27eb-b22a058c5a7a,,,,30/03/2016
anomali,81,Anomali,42490,"Provider of a SaaS-based cyber security intelligence platform. The company's cyber security platform provides threat data collection, prioritization security analysis and cyber threat management by aggregating threat indicators from around the internet and integrating it to an organization's existing security infrastructure.",2013,IVP (Stephen Harrick),30,26.79,NA,1,f4658998-464f-f5ed-d76b-4c71c107d13f,,,,29/04/2016
appcard,8,AppCard,42429,"Provider of a platform enabling merchants to retain customers through loyalty programs, analytics engines, rewards and personalized offers. The company's application enables users to connect with their stores, receive offers on their smartphones or the web, earn rewards and organize digital receipts.",2011,"Alexander Rittweger, Philippine Long Distance Telephone (Winston Damarillo)",20,6.22,Early / Small,0,2f87b4e0-c900-c483-43c3-3c6a17c65a27,,,,28/02/2016
appetizetechnologies,457,Appetize Technologies,43131,"Operator of a point-of-sale technology company designed for sports and entertainment, education, and professional industries. The company's proprietary system seamlessly powers POS technology across handheld devices, kiosks, mobile and inventory systems enabling businesses to increase efficiency, boost revenue
and improve customer experience.",2011,Shamrock Capital Advisors (Andrew Howard),27.26,20.14727,NA,1,8a5e9f7d-d7bb-4146-82ea-993ca03df0ee,,,,30/01/2018
applitools,105,Applitools,43220,"Developer of cloud-based automated visual software testing designed to test coverage and automated end-to-end functional tests. The company's software testing validates entire application pages at a time with a single line of code, supporting all major test automation frameworks and programming languages covering web, mobile and desktop apps, enabling automation engineers and digital transformation leaders to shorten the release cycles of the product.",2013,OpenView Venture Partners (Jim Baum),31,15,Early / Small,0,253bb7b6-a7cc-731d-148a-5c96d5fe63db,,,,29/04/2018
appsflyer,260,AppsFlyer,42766,"Developer of a mobile application measurement and tracking platform. The company offers a software platform, NativeTrack, that allows application developers, brands and agencies to measure and optimize their application marketing activities from one real-time dashboard.",2011,Qumra Capital (Boaz Dinte),56,28,NA,1,7ea89890-7a77-8916-a345-a437a2e4b576,,,,30/01/2017
appzen,604,AppZen,43404,"Developer of an Artificial Intelligence (AI) based platform designed to offer back-office automation services. The company's platform uses AI to automate expense report auditing, detect compliance issues and fraud and also automatically read and understand expense reports, receipts and travel documents, as well as cross-checks them with hundreds of data sources in real-time to determine the accuracy and legitimacy of every expense, enabling businesses to audit their expense reports without adding human auditors.",2012,Lightspeed Venture Partners(Arif Janmohamed),35,17.31,NA,1,71ca766e-842d-bd2c-8628-474b0125702a,,,,30/10/2018
aras,210,Aras,43008,"Developer of product lifecycle management (PLM) software designed to effectively manage the business of engineering. The company's product lifecycle management software combines enterprise open source technology with an advanced model-based service oriented architecture to deliver a highly scalable, flexible and secure PLM suite, enabling organizations to increase their productivity.",2000,Silver Lake Management (Martin Fichtner),39.5,24.33,Business Model,0,571661a7-1386-ec64-4e7e-ac2c3ac98cba,,,,29/09/2017
armis,265,Armis,43220,"Developer of an agentless IoT security platform for enterprises created to identify unmanaged devices or networks. The company's platform lets enterprises see and control compromised and unmanaged devices and rogue networks accessing their systems, effectively eliminating the IoT security blind spot that exists in all businesses today, enabling enterprises gain visibility and control over threats created by the explosion of connected devices.",2015,Red Dot Capital Partners (Yaniv Stern),30,17,Previous Investors,0,28723227-0fff-6057-d587-30bd695c32df,,,,29/04/2018
assentcompliance,365,Assent Compliance,42947,"Developer of compliance management software. The company provides Assent Compliance Platform (ACP) to help companies automate compliance processes, reduce workload and save on compliance costs.",2005,Greenspring Associates,40,20,NA,1,b390b615-fd25-dd62-e0a2-d65c07b2f695,,,,30/07/2017
atscale,417,AtScale,43039,"Provider of a business intelligence platform designed to make business analytics work on big data. The company's business intelligence platform uses machine learning that helps to query data in-place where it lands without additional data movement, scale out on big data and OLAP on Hadoop with Virtual Cubes, create models with measures and dimensions, just like OLAP but on big data and generates automatic smart aggregates that learn to anticipate user BI and OLAP queries, enabling enterprises to maintain scale, performance and control across their big data or Hadoop cluster at all times.",2013,Atlantic Bridge Capital (David Lam),25,20,NA,1,6c9cf93d-117b-427a-9389-55a1332afde3,,,,30/10/2017
audaciousinquiry,464,Audacious Inquiry,43131,"Provider of health information policy and technology intended to make healthcare more connected. The company's custom development software, Healthcare IT related market research, delivery system, planning, and funding strategy with unparalleled delivery on software, strategy, and service enabling healthcare organizations continue to grow as a company with the help of analytics, consulting and data management.",2004,ABS Capital Partners (Cal Wheaton),,0,NA,1,9a088db5-c337-fc5f-48e1-25118465580b,,,,30/01/2018
auditboard,119,AuditBoard,43343,"Provider of a cloud-based audit automation platform created to revolutionize the way enterprises manage, solve, and report on their entire risk, compliance, and audit universe. The company's cloud-based SOX software offers a full suite of audit management services for SOX management, environmental resources management, operational audits and workflow management, enabling internal auditors and process owners to collaborate, manage, analyze and report on critical internal control data in real time.",2014,Battery Ventures(Michael Brown),39.7,3.61,Early / Small,0,3851069c-5de3-e348-719e-7a576b904ad2,,,,30/08/2018
auth0,356,Auth0,42916,"Developer of a cloud based Identity as a Service platform designed to integrate directly, manage identity and authentication into cloud platforms.",2013,Meritech Capital Partners (George Bischof),30,24.27,NA,1,bf83106d-58d5-7c95-1dd4-7ccedc7ca017,,,,29/06/2017
autogrid,26,AutoGrid,42521,"Provider of big data analytics and cloud-computing technology for the energy industry. The company analyzes the exponentially expanding wave of data being generated by smart meters, building management systems, voltage regulators, thermostats and other equipment so utilities and end-users can obtain precise insight into where power is going and enact automated, responsive controls.",2010,"Energy Impact Partners (Michael Donnelly), Envision Ventures (Daniel Ahn)",20,23.85511,Early / Small,0,c59c68b7-3d3a-6117-1987-e7ff62b81eae,,,,30/05/2016
automationanywhere,555,Automation Anywhere,43312,"Developer of a RPA analytics platform designed to automate tasks of any complexity. The company's platform is integrated with an automation software and testing software that automate any process with centralized security, user management, collaboration and backup, enabling clients to automate their business processes and discover new automation ideas and maximize ROI",2003,"NEA, Goldman Sachs ",250,0,NA,1,a3ccf23f-0342-9b08-51aa-c6e5b540ef0d,,,,30/07/2018
automile,426,Automile,43039,"Provider of mobile-first, design-first fleet and field service management services intended to connect vehicle drivers to fleet managers. The company's mobile-first, design-first fleet and field service management services uses Internet of Things (IoT), enabling business of all sizes to track their vehicles and assets, remove paperwork, stay compliant, improve vehicle utilization, reduce accidents and increase productivity.",2013,Insight Venture Partners (Jeffrey Horing),34,5.25,NA,1,88b3e5d7-8c01-8428-4f86-3e816285f899,,,,30/10/2017
awakesecurity,370,Awake Security,42674,"Provider of a next-generation network security and analytics platform designed to improve security team productivity by tenfold. The company's next-generation network security and analytics platform uses machine learning and data science to automate painstaking analyses expert investigators perform, so anyone can get the same results in seconds, enabling enterprises with re-imagining network security and offers visibility into network operations and security.",2014,Bain Capital Ventures (Enrique Salem),22.5,8.7,NA,1,ee7a37c6-b25d-9be1-b281-99ae2a0a931a,,,,30/10/2016
axialhealthcare,46,Axial Healthcare,42674,"Provider of pain medication and pain care management systems. The company provides a suite of pain management capabilities includes: predictive analytics; a decision-support platform that delivers pain population analytics, provider dashboard and content, network performance monitoring, and PharmD consultation for providers; and a mobile patient application for patients experiencing chronic pain.",2012,Oak HC/FT (Nancy Brown),16.5,11.5,Early / Small,0,494eb2e0-d1d0-9874-1c42-7a88fe3fe4ed,,,,30/10/2016
axonify,213,Axonify,42704,Provider of an employee knowledge platform. The company's learning platform for employees is based on principles of behavioral learning and the concept of spaced repetition and uses the approach of microlearning.,2011,JMI Equity (Matthew Emery),27,0,NA,1,ea45d733-569f-c48d-cb32-cf9f1ce56510,,,,29/11/2016
aylanetworks,33,Ayla Networks,42551,"Provider of a cloud-based connectivity platform. The company has developed an end-to-end platform that allows manufacturers and service providers to turn home controls, lighting and other everyday products into intelligent devices that can collect information, be managed remotely or perform tasks automatically on behalf of consumers and businesses.",2010,"3NOD Digital, Ants Capital (Yin Min)",39,20.12075,Early / Small,0,ff435971-d09e-1595-7922-9dc3b548cf31,,,,29/06/2016
babylonhealth,320,Babylon Health,42855,"Developer of a digital healthcare consultation application designed to transform healthcare for everyone. The company's Babylon application offers healthcare services where users can make doctor's appointment, access clinical records and avail health monitoring system, providing users with healthcare related advice.",2013,Undisclosed,60,25,NA,1,57a7995c-ca8a-66fd-393f-8dbf5e325318,,,,29/04/2017
backmarket,542,Back Market,43281,"Provider of a platform intended to promote the use and sale of refurbished products. The company's platform connects consumers, startups and small and medium enterprises with professional sellers to acquire certified and guaranteed electronic devices, enabling users to buy products at unbeatable prices.",2014,Groupe Arnault,48,8.62,NA,1,d30c109e-839d-bc9e-fa2c-efaf679284e9,,,,29/06/2018
bangsuntechnology,327,BangSun Technology,42886,"The company's financial risk management platform develops real-time risk control system for the financial sector and anti-fraud products, based on a number of core technologies including device fingerprint, proxy IP recognition, suspicious communication recognition, risk control engines, machine learning and workflow management, its services includes payment anti-fraud, application anti-fraud, Internet lending, data service, robot defense and anti-money, enabling businesses to get safe and secure financial transactions.",2010,F&G Ventures,23,22,NA,1,78f8595d-c332-42a8-ad68-0da2923eb0c3,,,,30/05/2017
baydynamics,164,Bay Dynamics,42582,Provider of security intelligence software. The company provides information risk intelligence and IT analytics that uses next generation machine learning and predictive analytics technology to provide cyber security services.,2001,Carrick Capital Partners (James Madden),23,8.000002,Business Model,0,89ef7f67-9c05-b724-2129-28c3ac031289,,,,30/07/2016
beamery,548,Beamery,43281,"Developer of a candidate relationship software designed to power modern recruiting teams. The company's candidate relationship software uses machine learning algorithms, predictive marketing and data-science to determine which prospects are most interested in working for a given employer, enabling recruiters or employers to identify, get connected and nurture relationships with prospective hires, long before they apply for a job.",2013,EQT(Alastair Mitchell),28,7,NA,1,16ce9c62-0463-7d58-efb0-dd0ffde07f14,,,,29/06/2018
bettermortgage,161,Better Mortgage,42551,Provider of a technology platform for real estate mortgage lending. The company uses data-driven algorithms and statistical models to streamline mortgage banking process for both borrowers and investors in the US.,2014,Goldman Sachs Group,30,10,Business Model,0,020b85ae-d7d2-8d9f-3c57-84f3c8e7d9cc,,,,29/06/2016
betterup,494,BetterUp,43190,"Provider of a mobile-based leadership development platform created to offer personalized coaching that boosts personal wellbeing and professional performance. The company's leadership development platform brings personalized, expert coaching to employees at all levels. It develops new leadership behaviors and mindsets that enable high performance amid constant and accelerating change. It helps people to build and maintain healthy habits, enabling them to maintain work performance.",2013,Lightspeed Venture Partners (William Kohler),26,12.900001,NA,1,9fdcc4ab-5e13-eafe-ec3d-10a2164e4b5d,,,,30/03/2018
bigpanda,105,BigPanda,42521,"Provider of a data science management platform for automating IT events. The company offers a technology service that simplifies operations troubleshooting by cleaning up the noisy data, alerts and visualizing correlations in the production stack.",2012,Battery Ventures (Scott Tobin),21,8.521799,NA,1,fcaafc8a-234a-fb3b-374b-dac0eefcf3ea,,,,30/05/2016
biocatch,487,BioCatch,43190,"Developer of a biometric technology created to recognize a wide range of human and non-human cybersecurity threats. The company's biometric technology focuses on online and mobile fraud mitigation and develops biometric identification method that identifies users based on their physical behaviors like mouse habits and keystroke patterns, enabling users to stay protected from online frauds and cybercrimes.",2011,Maverick Ventures (San Francisco) (Matthew Kinsella),30,13.81,NA,1,516abfe7-ee23-d825-b1e2-144b41ca591e,,,,30/03/2018
bioiq,220,BioIQ,43190,"Provider of healthcare measurement technology created to impact 100 million lives and change the U.S. healthcare system. The company's platform provides tools for orchestrating health testing programs and biometric screening events across multiple vendors, as well as multi-channel communication tools for engaging and motivating participants at every step of the way, connects people to health testing through their software, turns health biometrics into meaningful information and offers options for health improvement, simplifies health testing for health plans, employers and enterprises of all sizes and empowers people to take action to improve their health.",2005,HealthQuest Capital (Todd Creech),26.5,25.21269503,Business Model,0,741a3340-2641-1229-ec42-c2bd2ee2575e,,,,30/03/2018
biooptronics,463,Bio-Optronics,43131,"Developer of medical practice software, clinical management systems, physician scheduling and patient ID systems designed for providing effective hospital point-of-care services and optimizing workflow. ",1985,Mainsail Partners (Michael Anderson),30,0,NA,1,1724a889-a44b-c53e-ea11-31768c1f4c20,,,,30/01/2018
